Date,Hour,Average Temperature(in °C),Average Humidity(in %),Rainfall(in mm)
2025-01-08,21:00,1.0933333333333333,88.93333333333334,0
2025-01-08,22:00,1.25,88.19333333333334,0
2025-01-08,23:00,1.2,88.48,0
2025-01-09,00:00,1.1733333333333333,88.57666666666667,0
2025-01-09,01:00,1.0733333333333335,88.56,0
2025-01-09,02:00,0.8066666666666666,89.22666666666667,0
2025-01-09,03:00,1.1733333333333333,88.72333333333333,0
2025-01-09,04:00,1.37,88.36666666666666,0
2025-01-09,05:00,0.8,90.88000000000001,0
2025-01-09,06:00,-1.3866666666666667,94.79666666666667,0
2025-01-09,07:00,-1.6766666666666665,97.23666666666666,0
2025-01-09,08:00,-1.0066666666666666,97.3,0
2025-01-09,09:00,0.4066666666666666,94.99666666666667,0
2025-01-09,10:00,0.8933333333333333,95.35333333333332,0
2025-01-09,11:00,0.6933333333333334,96.08333333333333,0
2025-01-09,12:00,0.8166666666666667,96.67,0
2025-01-09,13:00,1.23,97.30333333333333,0.5588
2025-01-09,14:00,1.39,98.15666666666667,0.5588
2025-01-09,15:00,1.7266666666666666,98.37666666666668,0.5588
2025-01-09,16:00,1.6766666666666667,97.74666666666667,0
2025-01-09,17:00,1.56,98.59333333333333,0.2794
2025-01-09,18:00,1.4066666666666667,98.73,0
2025-01-09,19:00,1.4233333333333333,97.79333333333334,0
2025-01-09,20:00,1.29,96.84666666666666,0.8382
2025-01-09,21:00,1.2333333333333334,98.19333333333334,0
2025-01-09,22:00,1.0666666666666667,98.36999999999999,0.5588
2025-01-09,23:00,0.9533333333333334,99.03,0.5588
2025-01-10,00:00,0.6666666666666666,98.66666666666667,0
2025-01-10,01:00,0.42,98.14666666666668,0
2025-01-10,02:00,0.6133333333333333,98.19666666666667,0
2025-01-10,03:00,1.1666666666666667,96.86666666666666,0
2025-01-10,04:00,1.1666666666666667,97.08,0.2794
2025-01-10,05:00,1.3433333333333333,98.2,0
2025-01-10,06:00,1.0166666666666666,98.56333333333333,0
2025-01-10,07:00,1.4366666666666668,97.99,0.2794
2025-01-10,08:00,1.5366666666666666,97.88333333333334,0.5588
2025-01-10,09:00,1.7333333333333334,97.24666666666667,0
2025-01-10,10:00,2.5300000000000002,94.14333333333335,0
2025-01-10,11:00,2.7133333333333334,94.29333333333334,0.2794
2025-01-10,12:00,3.35,93.25666666666666,0
2025-01-10,13:00,3.243333333333333,94.03333333333333,0.2794
2025-01-10,14:00,3.6333333333333333,94.17,0
2025-01-10,15:00,2.796666666666667,94.01,0
2025-01-10,16:00,1.8533333333333333,95.50333333333333,0
2025-01-10,17:00,0.6866666666666668,97.62333333333332,0
2025-01-10,18:00,-0.35,98.71333333333334,0
2025-01-10,19:00,0.06666666666666667,99.60333333333332,0
2025-01-10,20:00,1.34,99.9,0
2025-01-10,21:00,0.8966666666666667,98.86,0
2025-01-10,22:00,-0.18666666666666665,98.36333333333333,0
2025-01-10,23:00,-1.0466666666666666,98.49,0
2025-01-11,00:00,-0.86,96.55333333333333,0
2025-01-11,01:00,-0.7200000000000001,95.65333333333334,0
2025-01-11,02:00,-1.0766666666666667,94.83666666666666,0
2025-01-11,03:00,-1.7133333333333334,95.62666666666668,0
2025-01-11,04:00,-2.0900000000000003,97.26333333333334,0
2025-01-11,05:00,-1.8,98.17333333333333,0.2794
2025-01-11,06:00,-1.0433333333333334,97.27666666666667,0
2025-01-11,07:00,-1.0766666666666667,98.48666666666666,0
2025-01-11,08:00,-0.8933333333333333,98.99666666666667,0
2025-01-11,09:00,-0.26666666666666666,98.1,0
2025-01-11,10:00,0.39666666666666667,95.96666666666667,0
2025-01-11,11:00,1.4200000000000002,92.01,0
2025-01-11,12:00,2.35,89.70333333333333,0
2025-01-11,13:00,2.3633333333333337,89.48666666666666,0
2025-01-11,14:00,1.6666666666666667,93.21000000000001,0
2025-01-11,15:00,1.77,93.28666666666666,0
2025-01-11,16:00,0.7899999999999999,93.53333333333333,0
2025-01-11,17:00,-0.12000000000000001,94.29333333333334,0
2025-01-11,18:00,-0.4666666666666667,93.40666666666667,0
2025-01-11,19:00,-0.7366666666666667,92.66000000000001,0
2025-01-11,20:00,-0.9166666666666666,92.65,0
2025-01-11,21:00,-0.8133333333333332,90.45666666666666,0
2025-01-11,22:00,-1.07,90.8,0
2025-01-11,23:00,-1.2066666666666668,91.02,0
2025-01-12,00:00,-1.02,88.67,0
2025-01-12,01:00,-1.6266666666666665,91.91666666666667,0
2025-01-12,02:00,-1.1166666666666667,89.55666666666666,0
2025-01-12,03:00,-1.1366666666666667,90.69333333333334,0
2025-01-12,04:00,-0.7766666666666667,89.67333333333333,0
2025-01-12,05:00,-0.7899999999999999,90.26666666666667,0
2025-01-12,06:00,-1.95,94.74333333333334,0
2025-01-12,07:00,-2.25,95.97,0
2025-01-12,08:00,-2.6166666666666667,96.41666666666667,0
2025-01-12,09:00,-2.7133333333333334,96.63000000000001,0
2025-01-12,10:00,-0.7233333333333333,91.93333333333334,0
2025-01-12,11:00,0.9533333333333334,83.54666666666667,0
2025-01-12,12:00,1.4933333333333332,81.10666666666665,0
2025-01-12,13:00,1.8733333333333335,79.21333333333334,0
2025-01-12,14:00,1.8733333333333333,79.81333333333333,0
2025-01-12,15:00,1.4200000000000002,79.88000000000001,0
2025-01-12,16:00,0.09666666666666666,87.03,0
2025-01-12,17:00,-1.5266666666666666,94.87666666666668,0
2025-01-12,18:00,-2.02,97.27333333333333,0
2025-01-12,19:00,-2.5966666666666667,97.87333333333332,0
2025-01-12,20:00,-3.0766666666666667,98.57,0
2025-01-12,21:00,-3.6533333333333333,97.64666666666668,0
2025-01-12,22:00,-3.853333333333333,97.32666666666667,0
2025-01-12,23:00,-4.276666666666667,96.81333333333333,0
2025-01-13,00:00,-4.723333333333333,96.12333333333332,0
2025-01-13,01:00,-4.8933333333333335,95.86999999999999,0
2025-01-13,02:00,-5.136666666666667,95.28,0
2025-01-13,03:00,-5.113333333333333,95.46333333333334,0
2025-01-13,04:00,-5.506666666666666,94.69,0
2025-01-13,05:00,-5.706666666666667,94.78999999999999,0
2025-01-13,06:00,-5.013333333333334,95.23666666666666,0
2025-01-13,07:00,-5.91,94.04333333333334,0
2025-01-13,08:00,-5.03,94.53666666666666,0
2025-01-13,09:00,-4.489999999999999,93.75333333333333,0
2025-01-13,10:00,-3.1133333333333337,92.66666666666667,0
2025-01-13,11:00,-1.71,91.32333333333332,0
2025-01-13,12:00,-1.042857142857143,90.84285714285714,0
