Date & Time,12 Hours before,11 Hours before,10 Hours before,9 Hours before,8 Hours before,7 Hours before,6 Hours before,5 Hours before,4 Hours before,3 Hours before,2 Hours before,1 Hours before
2025-01-05 16:00,0.288 2.0799999999999557 0.05579999999999963,0.088 3.0799999999999557 0.35579999999999945,0.13799999599999999 3.0799999999999557 0.45579999999999954,0.13799999599999999 3.0799999999999557 0.45579999999999954,0.13799999599999999 3.0799999999999557 0.45579999999999954,0.13799999599999999 3.0799999999999557 0.45579999999999954,0.13799999599999999 3.0799999999999557 0.45579999999999954,0.13799999599999999 3.0799999999999557 0.45579999999999954,0.13799999599999999 3.0799999999999557 0.45579999999999954,0.13799999599999999 3.0799999999999557 0.45579999999999954,0.13799999599999999 3.0799999999999557 0.45579999999999954,0.13799999599999999 3.0799999999999557 0.45579999999999954
2025-01-05 17:00,0.2513333333333334 2.0266666666666566 -0.5030000000000001,-0.04866666666666658 2.0266666666666566 -0.8030000000000004,0.1513333333333334 2.0266666666666566 -0.1030000000000002,0.1513333333333334 2.0266666666666566 -0.1030000000000002,0.1513333333333334 2.0266666666666566 -0.1030000000000002,0.1513333333333334 2.0266666666666566 -0.1030000000000002,0.1513333333333334 2.0266666666666566 -0.1030000000000002,0.1513333333333334 2.0266666666666566 -0.1030000000000002,0.1513333333333334 2.0266666666666566 -0.1030000000000002,0.1513333333333334 2.0266666666666566 -0.1030000000000002,0.1513333333333334 2.0266666666666566 -0.1030000000000002,0.1513333333333334 2.0266666666666566 -0.1030000000000002
2025-01-05 18:00,-0.03533333333333333 0.8866666666666418 -0.5236000000000005,-0.3853333333333334 0.8866666666666418 -0.12360000000000038,-0.2353333333333334 0.8866666666666418 -0.5235998000000004,-0.2353333333333334 0.8866666666666418 -0.5235998000000004,-0.2353333333333334 0.8866666666666418 -0.5235998000000004,-0.2353333333333334 0.8866666666666418 -0.5235998000000004,-0.2353333333333334 0.8866666666666418 -0.5235998000000004,-0.2353333333333334 0.8866666666666418 -0.5235998000000004,-0.2353333333333334 0.8866666666666418 -0.5235998000000004,-0.2353333333333334 0.8866666666666418 -0.5235998000000004,-0.2353333333333334 0.8866666666666418 -0.5235998000000004,-0.2353333333333334 0.8866666666666418 -0.5235998000000004
2025-01-05 19:00,-1.2453331333333333 0.45666666666666345 -0.7618000000000001,-1.845333333333333 0.45666666666666345 -1.3618000000000001,-1.595333333333333 0.45666666666666345 -1.4618001999999999,0.1046666666666668 1.4566666666666634 -0.16180000000000005,0.1046666666666668 1.4566666666666634 -0.16180000000000005,0.1046666666666668 1.4566666666666634 -0.16180000000000005,0.1046666666666668 1.4566666666666634 -0.16180000000000005,0.1046666666666668 1.4566666666666634 -0.16180000000000005,0.1046666666666668 1.4566666666666634 -0.16180000000000005,0.1046666666666668 1.4566666666666634 -0.16180000000000005,0.1046666666666668 1.4566666666666634 -0.16180000000000005,0.1046666666666668 1.4566666666666634 -0.16180000000000005
2025-01-05 20:00,-3.705333033333333 1.886666666666713 -1.4205999,-4.855333333333333 2.886666666666713 -0.8206000000000001,-3.5053333333333327 1.886666666666713 -0.3206,-0.5053333333333332 0.8866666666667129 -1.3205999,-0.5053333333333332 0.8866666666667129 -1.3205999,-0.5053333333333332 0.8866666666667129 -1.3205999,-0.5053333333333332 0.8866666666667129 -1.3205999,-0.5053333333333332 0.8866666666667129 -1.3205999,-0.5053333333333332 0.8866666666667129 -1.3205999,-0.5053333333333332 0.8866666666667129 -1.3205999,-0.5053333333333332 0.8866666666667129 -1.3205999,-0.5053333333333332 0.8866666666667129 -1.3205999
2025-01-05 21:00,-5.755333333333334 4.900000000000034 0.4588,-5.405333333333334 3.900000000000034 0.5588,-3.2553330333333337 1.900000000000034 0.5588,-3.405333333333334 2.900000000000034 0.35879999999999995,-3.405333333333334 2.900000000000034 0.35879999999999995,-3.405333333333334 2.900000000000034 0.35879999999999995,-3.405333333333334 2.900000000000034 0.35879999999999995,-3.405333333333334 2.900000000000034 0.35879999999999995,-3.405333333333334 2.900000000000034 0.35879999999999995,-3.405333333333334 2.900000000000034 0.35879999999999995,-3.405333333333334 2.900000000000034 0.35879999999999995,-3.405333333333334 2.900000000000034 0.35879999999999995
2025-01-05 22:00,-4.948666666666666 4.900000000000034 1.1176,-4.498666666666667 4.900000000000034 1.1176,-3.0986666666666673 3.900000000000034 1.1176,-3.2986666666666666 3.900000000000034 1.1176,-3.2986666666666666 3.900000000000034 1.1176,-3.2986666666666666 3.900000000000034 1.1176,-3.2986666666666666 3.900000000000034 1.1176,-3.2986666666666666 3.900000000000034 1.1176,-3.2986666666666666 3.900000000000034 1.1176,-3.2986666666666666 3.900000000000034 1.1176,-3.2986666666666666 3.900000000000034 1.1176,-3.2986666666666666 3.900000000000034 1.1176
2025-01-05 23:00,-1.9386666666666663 6.900000000000034 1.6763999999999997,-1.038666666666666 4.900000000000034 1.6763999999999997,-0.4386666666666663 3.900000000000034 1.6763999999999997,-0.288666366666666 3.900000000000034 1.6763999999999997,-0.288666366666666 3.900000000000034 1.6763999999999997,-0.288666366666666 3.900000000000034 1.6763999999999997,-0.288666366666666 3.900000000000034 1.6763999999999997,-0.288666366666666 3.900000000000034 1.6763999999999997,-0.288666366666666 3.900000000000034 1.6763999999999997,-0.288666366666666 3.900000000000034 1.6763999999999997,-0.288666366666666 3.900000000000034 1.6763999999999997,-0.288666366666666 3.900000000000034 1.6763999999999997
2025-01-06 00:00,-0.012000000000002231 6.900000000000034 0.0,0.8879999999999981 5.900000000000034 0.0,0.8879999999999981 5.900000000000034 0.0,0.8879999999999981 5.900000000000034 0.0,0.8879999999999981 5.900000000000034 0.0,0.8879999999999981 5.900000000000034 0.0,0.8879999999999981 5.900000000000034 0.0,0.8879999999999981 5.900000000000034 0.0,0.8879999999999981 5.900000000000034 0.0,0.8879999999999981 5.900000000000034 0.0,0.8879999999999981 5.900000000000034 0.0,0.8879999999999981 5.900000000000034 0.0
2025-01-06 01:00,0.2213333333333356 7.900000000000034 0.0,1.1713333333333367 5.900000000000034 0.0,1.1713333333333367 5.900000000000034 0.0,1.1713333333333367 5.900000000000034 0.0,1.1713333333333367 5.900000000000034 0.0,1.1713333333333367 5.900000000000034 0.0,1.1713333333333367 5.900000000000034 0.0,1.1713333333333367 5.900000000000034 0.0,1.1713333333333367 5.900000000000034 0.0,1.1713333333333367 5.900000000000034 0.0,1.1713333333333367 5.900000000000034 0.0,1.1713333333333367 5.900000000000034 0.0
2025-01-06 02:00,0.4679999999999964 6.463333333333367 -0.7,0.9679999999999964 5.463333333333367 -0.8,0.9679999999999964 5.463333333333367 -0.8,0.9679999999999964 5.463333333333367 -0.8,0.9679999999999964 5.463333333333367 -0.8,0.9679999999999964 5.463333333333367 -0.8,0.9679999999999964 5.463333333333367 -0.8,0.9679999999999964 5.463333333333367 -0.8,0.9679999999999964 5.463333333333367 -0.8,0.9679999999999964 5.463333333333367 -0.8,0.9679999999999964 5.463333333333367 -0.8,0.9679999999999964 5.463333333333367 -0.8
2025-01-06 03:00,0.15133333333333177 7.590000000000018 0.17939999999999998,0.6513333333333318 7.590000000000018 0.07939999999999997,0.6513333333333318 7.590000000000018 0.07939999999999997,0.6513333333333318 7.590000000000018 0.07939999999999997,0.6513333333333318 7.590000000000018 0.07939999999999997,0.6513333333333318 7.590000000000018 0.07939999999999997,0.6513333333333318 7.590000000000018 0.07939999999999997,0.6513333333333318 7.590000000000018 0.07939999999999997,0.6513333333333318 7.590000000000018 0.07939999999999997,0.6513333333333318 7.590000000000018 0.07939999999999997,0.6513333333333318 7.590000000000018 0.07939999999999997,0.6513333333333318 7.590000000000018 0.07939999999999997
2025-01-06 04:00,0.007999999999999119 9.703333333333362 0.2794,0.4580000000000002 8.703333333333362 0.2794,0.4580000000000002 8.703333333333362 0.2794,0.4580000000000002 8.703333333333362 0.2794,0.4580000000000002 8.703333333333362 0.2794,0.4580000000000002 8.703333333333362 0.2794,0.4580000000000002 8.703333333333362 0.2794,0.4580000000000002 8.703333333333362 0.2794,0.4580000000000002 8.703333333333362 0.2794,0.4580000000000002 8.703333333333362 0.2794,0.4580000000000002 8.703333333333362 0.2794,0.4580000000000002 8.703333333333362 0.2794
2025-01-06 05:00,0.07466666666666022 8.900000000000006 0.0,0.12466666666665915 8.900000000000006 0.0,0.12466666666665915 8.900000000000006 0.0,0.12466666666665915 8.900000000000006 0.0,0.12466666666665915 8.900000000000006 0.0,0.12466666666665915 8.900000000000006 0.0,0.12466666666665915 8.900000000000006 0.0,0.12466666666665915 8.900000000000006 0.0,0.12466666666665915 8.900000000000006 0.0,0.12466666666665915 8.900000000000006 0.0,0.12466666666665915 8.900000000000006 0.0,0.12466666666665915 8.900000000000006 0.0
2025-01-06 06:00,0.24466666666666903 7.730000000000004 0.0,0.19466666666666832 7.730000000000004 0.0,0.19466666666666832 7.730000000000004 0.0,0.19466666666666832 7.730000000000004 0.0,0.19466666666666832 7.730000000000004 0.0,0.19466666666666832 7.730000000000004 0.0,0.19466666666666832 7.730000000000004 0.0,0.19466666666666832 7.730000000000004 0.0,0.19466666666666832 7.730000000000004 0.0,0.19466666666666832 7.730000000000004 0.0,0.19466666666666832 7.730000000000004 0.0,0.19466666666666832 7.730000000000004 0.0
2025-01-06 07:00,0.544666666666668 7.046666666666681 0.0,0.24466666666666903 7.046666666666681 0.0,0.24466666666666903 7.046666666666681 0.0,0.24466666666666903 7.046666666666681 0.0,0.24466666666666903 7.046666666666681 0.0,0.24466666666666903 7.046666666666681 0.0,0.24466666666666903 7.046666666666681 0.0,0.24466666666666903 7.046666666666681 0.0,0.24466666666666903 7.046666666666681 0.0,0.24466666666666903 7.046666666666681 0.0,0.24466666666666903 7.046666666666681 0.0,0.24466666666666903 7.046666666666681 0.0
2025-01-06 08:00,0.4246666666666652 8.913333333333341 0.0,0.2246666666666659 7.913333333333341 0.0,0.2246666666666659 7.913333333333341 0.0,0.2246666666666659 7.913333333333341 0.0,0.2246666666666659 7.913333333333341 0.0,0.2246666666666659 7.913333333333341 0.0,0.2246666666666659 7.913333333333341 0.0,0.2246666666666659 7.913333333333341 0.0,0.2246666666666659 7.913333333333341 0.0,0.2246666666666659 7.913333333333341 0.0,0.2246666666666659 7.913333333333341 0.0,0.2246666666666659 7.913333333333341 0.0
