Datetime,12 Hours before,11 Hours before,10 Hours before,9 Hours before,8 Hours before,7 Hours before,6 Hours before,5 Hours before,4 Hours before,3 Hours before,2 Hours before,1 Hours before
2024-12-30 02:00,4.6219997 95.0 0.0,3.822 95.0 0.0,3.822 95.0 0.0,3.822 95.0 0.0,3.822 95.0 0.0,3.822 95.0 0.0,3.822 95.0 0.0,3.822 95.0 0.0,3.822 95.0 0.0,3.822 95.0 0.0,3.822 95.0 0.0,3.822 95.0 0.0
2024-12-30 03:00,4.522 95.0 0.0,4.072 96.0 0.0,4.072 96.0 0.0,4.072 96.0 0.0,4.072 96.0 0.0,4.072 96.0 0.0,4.072 96.0 0.0,4.072 96.0 0.0,4.072 96.0 0.0,4.072 96.0 0.0,4.072 96.0 0.0,4.072 96.0 0.0
2024-12-30 04:00,4.6219997 96.0 0.0,4.322 96.0 0.0,4.322 96.0 0.0,4.322 96.0 0.0,4.322 96.0 0.0,4.322 96.0 0.0,4.322 96.0 0.0,4.322 96.0 0.0,4.322 96.0 0.0,4.322 96.0 0.0,4.322 96.0 0.0,4.322 96.0 0.0
2024-12-30 05:00,4.672 96.0 0.0,4.772 95.0 0.0,4.772 95.0 0.0,4.772 95.0 0.0,4.772 95.0 0.0,4.772 95.0 0.0,4.772 95.0 0.0,4.772 95.0 0.0,4.772 95.0 0.0,4.772 95.0 0.0,4.772 95.0 0.0,4.772 95.0 0.0
2024-12-30 06:00,4.472 96.0 0.0,5.072 95.0 0.0,5.072 95.0 0.0,5.072 95.0 0.0,5.072 95.0 0.0,5.072 95.0 0.0,5.072 95.0 0.0,5.072 95.0 0.0,5.072 95.0 0.0,5.072 95.0 0.0,5.072 95.0 0.0,5.072 95.0 0.0
2024-12-30 07:00,4.522 97.0 0.0,5.272 95.0 0.0,5.272 95.0 0.0,5.272 95.0 0.0,5.272 95.0 0.0,5.272 95.0 0.0,5.272 95.0 0.0,5.272 95.0 0.0,5.272 95.0 0.0,5.272 95.0 0.0,5.272 95.0 0.0,5.272 95.0 0.0
2024-12-30 08:00,4.772 95.0 0.0,5.1219997 95.0 0.0,5.1219997 95.0 0.0,5.1219997 95.0 0.0,5.1219997 95.0 0.0,5.1219997 95.0 0.0,5.1219997 95.0 0.0,5.1219997 95.0 0.0,5.1219997 95.0 0.0,5.1219997 95.0 0.0,5.1219997 95.0 0.0,5.1219997 95.0 0.0
2024-12-30 09:00,5.022 94.0 0.0,5.3719997 94.0 0.0,5.3719997 94.0 0.0,5.3719997 94.0 0.0,5.3719997 94.0 0.0,5.3719997 94.0 0.0,5.3719997 94.0 0.0,5.3719997 94.0 0.0,5.3719997 94.0 0.0,5.3719997 94.0 0.0,5.3719997 94.0 0.0,5.3719997 94.0 0.0
2024-12-30 10:00,5.522 93.0 0.0,5.6219997 93.0 0.0,5.3719997 95.0 0.0,5.3719997 95.0 0.0,5.3719997 95.0 0.0,5.3719997 95.0 0.0,5.3719997 95.0 0.0,5.3719997 95.0 0.0,5.3719997 95.0 0.0,5.3719997 95.0 0.0,5.3719997 95.0 0.0,5.3719997 95.0 0.0
2024-12-30 11:00,5.772 91.0 0.0,5.822 93.0 0.0,5.6219997 93.0 0.0,5.6219997 93.0 0.0,5.6219997 93.0 0.0,5.6219997 93.0 0.0,5.6219997 93.0 0.0,5.6219997 93.0 0.0,5.6219997 93.0 0.0,5.6219997 93.0 0.0,5.6219997 93.0 0.0,5.6219997 93.0 0.0
